"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SIENKIEWICZ Bartłomiej Henryk - KKW KOALICJA OBYWATELSKA";"WILK-GRZYWNA Małgorzata Beata - KKW KOALICJA OBYWATELSKA";"MARCZUŁAJTIS-WALCZAK Jagna Kinga - KKW KOALICJA OBYWATELSKA";"SALWIŃSKA Sylwia Kinga - KKW KOALICJA OBYWATELSKA";"MĘKAL Małgorzata Katarzyna - KKW KOALICJA OBYWATELSKA";"MAJKA Magdalena - KKW KOALICJA OBYWATELSKA";"ZWIERZCHOWSKI Wojciech Mieczysław - KKW KOALICJA OBYWATELSKA";"KOZIOŁ Artur Stanisław - KKW KOALICJA OBYWATELSKA";"WITKA Jacek Paweł - KKW KOALICJA OBYWATELSKA";"SOWA Marek Jan - KKW KOALICJA OBYWATELSKA";"SZEJNA Andrzej Jan - KKW LEWICA";"KOLARSKA Dorota Anna - KKW LEWICA";"LIPIŃSKA-PIEKARSKA Joanna Olszyna - KKW LEWICA";"ŻAK Dominik Piotr - KKW LEWICA";"ANIOŁ Alina Maria - KKW LEWICA";"KOBIELUSZ Paweł Bernard - KKW LEWICA";"HAŃDEREK Joanna Ewa - KKW LEWICA";"KUKLA Robert Łukasz - KKW LEWICA";"TUCHOWSKI Daniel - KKW LEWICA";"DROPEK Magdalena - KKW LEWICA";"JARUBAS Adam Sebastian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GÓRNIKIEWICZ Piotr Tadeusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NOWOGÓRSKA Urszula Teresa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MOTYCZYŃSKA Monika Elżbieta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAŚ Ireneusz Jacek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KASPRZYK Rafał Marcin - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TYJAS Jolanta Dorota - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STOLECKI Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DĄBROŚ Stella Józefa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BERKOWICZ Konrad Szczepan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BRAUN Grzegorz Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JASKÓŁKA Nadzieja - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KONARSKI Artur Marian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"IWAN Jasna Gabriela - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DRWAL Aleksandra Urszula - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"NOWOWIEJSKA Ewa Krystyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KRAJEWSKI Konrad Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"STRZELEC Marcin Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DZIADOSZ Jagoda - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KASELA Andrzej Jan - KW NORMALNY KRAJ";"KLICH Dariusz Zbigniew - KW NORMALNY KRAJ";"BILECKA Fabiola Katarzyna - KW NORMALNY KRAJ";"KURLETO Renata Janina - KW NORMALNY KRAJ";"STANKIEWICZ Aneta - KW NORMALNY KRAJ";"JANAS Mieszko Maria - KW NORMALNY KRAJ";"MIKOŁAJEK Maria Dorota - KW NORMALNY KRAJ";"BURZYŃSKI Zbigniew Józef - KW NORMALNY KRAJ";"ŻÓŁTEK Stanisław Józef - KW POLEXIT";"HAREŃCZYK Adam Wiesław - KW POLEXIT";"SAJDAK Anna Małgorzata - KW POLEXIT";"ŚLUSARCZYK Klaudia Dorota - KW POLEXIT";"BIGAJ Czesław - KW POLEXIT";"ZIĘBA Angelika Natalia - KW POLEXIT";"ŚMIŁEK Oskar Wojciech - KW POLEXIT";"MĘDREK Iwona Marzena - KW POLEXIT";"SZATAN Jarosław Kazimierz - KW POLEXIT";"JAGODZIŃSKI Marcin - KW PL!SP";"JAGODZIŃSKA Monika Ewa - KW PL!SP";"BŁACHUCKA Roksana Magdalena - KW PL!SP";"SZYDŁO Beata Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"MULARCZYK Arkadiusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"TARCZYŃSKI Dominik - KW PRAWO I SPRAWIEDLIWOŚĆ";"KRUPKA Anna Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"WÓJCIK Michał Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKRUCH Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"RUSECKA Urszula Beata - KW PRAWO I SPRAWIEDLIWOŚĆ";"WŁOSOWICZ Jacek Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"TLAŁKA-DŁUGOSZ Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKUZA Stanisław - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"NOWAKOWSKA Elżbieta Paula - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WICHE Mateusz Andrzej - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"KALISZ Beata - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"TORKOWSKA Samuela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"GOCAŁ Dariusz Krzysztof - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"SIEŃKO Natalia Izabela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WOCH Marcin Grzegorz - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"PETERSON Magdalena - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA"
1;"Klub ""Centrum"" w Osieku, ul. Główna 125, 32-608 Osiek";121305;"gm. Osiek";"oświęcimski";"małopolskie";1;1;100;6;14;5;1;1;2;1;0;73;15;5;0;0;1;3;0;0;0;0;23;1;3;1;1;1;0;1;0;64;42;59;0;0;0;4;3;0;2;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;285;12;55;1;2;0;0;0;2;2;0;4;0;1;0;0;0;0;0;0
2;"Sala WDK w Osieku, ul. Główna 125, 32-608 Osiek";121305;"gm. Osiek";"oświęcimski";"małopolskie";1;1;68;2;3;1;0;1;0;0;1;42;2;3;0;0;1;1;0;0;0;0;18;1;2;2;2;2;0;0;0;41;28;34;2;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;239;17;38;0;2;0;0;0;0;2;2;2;0;1;0;1;1;0;0;0
3;"Szkoła Podstawowa Nr 2 w Osieku, ul. Główna 450, 32-608 Osiek";121305;"gm. Osiek";"oświęcimski";"małopolskie";1;1;47;4;6;1;1;2;0;0;0;39;5;2;0;0;1;6;0;1;0;0;21;2;2;0;0;2;0;0;0;69;27;72;1;1;2;0;2;0;0;1;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;259;27;60;3;4;1;0;0;2;4;0;1;0;1;0;1;0;0;1;0
4;"Wiejski Dom Kultury w Głębowicach, Głębowice ul. Oświęcimska 8, 32-608 Osiek";121305;"gm. Osiek";"oświęcimski";"małopolskie";1;1;41;7;5;0;0;0;1;1;0;27;4;2;1;0;0;3;4;0;0;0;7;5;1;1;1;0;0;5;0;17;8;33;0;0;2;0;2;1;1;0;0;0;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;169;16;40;0;0;0;0;0;2;1;0;1;0;1;0;0;0;0;0;1
1;"Szkoła Podstawowa w Babicach, Babice ul. Różana 23, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;112;7;15;1;0;1;1;1;1;176;12;6;0;0;0;7;1;1;0;0;18;7;5;1;3;2;1;0;0;12;39;60;5;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;30;56;0;5;1;1;0;2;2;3;1;0;1;0;0;0;0;1;0
2;"LKS ""Puls"" w Broszkowicach, Broszkowice ul. Łąkowa 6, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;22;1;0;0;0;1;0;0;0;59;1;1;1;0;0;2;0;0;0;0;3;0;0;1;1;1;0;0;0;7;9;17;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;10;35;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
3;"Ośrodek Pomocy Społecznej Gminy Oświęcim, ul. Beskidzka 100, 32-615 Grojec";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;45;5;1;2;0;1;0;0;0;49;7;4;0;0;0;10;0;0;0;0;13;0;1;0;0;0;4;2;0;17;24;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;110;11;23;1;2;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1
4;"Zespół Szkolno-Przedszkolny w Brzezince, Brzezinka ul. Szkolna 19, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;127;9;16;2;1;5;0;3;1;151;9;5;2;0;1;9;0;1;1;0;24;4;1;0;3;1;1;0;0;13;26;60;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245;28;60;2;0;2;0;0;0;0;2;1;0;0;0;1;0;1;0;0
5;"Dom Ludowy w Harmężach, Harmęże ul. Borowskiego 32, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;24;2;6;0;0;1;0;0;0;25;0;1;0;0;0;2;0;0;0;0;4;1;0;2;0;0;0;1;0;8;7;18;0;0;1;0;1;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;107;5;16;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6;"Szkoła Podstawowa w Porębie Wielkiej, Poręba Wielka ul. Wadowicka 85, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;62;9;15;3;0;4;0;1;0;136;10;6;1;1;1;13;0;0;0;0;21;0;2;4;4;2;3;1;0;13;44;76;0;3;0;0;0;0;0;0;1;0;2;1;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;1;238;23;63;3;8;2;0;0;2;2;1;0;0;2;0;0;1;0;0;2
7;"Szkoła Podstawowa w Rajsku, Rajsko ul. Edukacyjna 11, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;82;8;10;1;0;2;0;0;0;119;1;2;0;0;0;1;0;0;0;0;19;0;0;0;2;1;1;0;0;14;16;42;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;162;27;30;0;2;0;1;0;0;1;1;1;0;0;0;0;0;0;1;2
8;"Szkoła Podstawowa we Włosienicy, ul. Józefa Suskiego 53, 32-642 Włosienica";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;38;7;4;0;0;1;1;9;0;75;3;3;0;0;1;4;0;0;0;0;11;3;0;1;0;1;1;1;0;10;27;28;3;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;208;26;50;2;4;0;1;0;0;3;3;1;0;1;1;0;0;0;0;1
9;"Dom Ludowy w Dworach Drugich, Dwory Drugie ul. Oświęcimska 28, 32-642 Włosienica";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;7;3;0;0;0;0;0;0;0;23;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;7;4;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;41;6;7;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
10;"Szkoła Podstawowa w Zaborzu, Zaborze ul. Jezioro 2, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;118;16;16;0;0;1;0;0;0;191;8;6;1;0;0;16;0;0;0;0;15;3;1;4;1;0;1;0;0;19;23;48;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;22;44;0;1;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0
11;"Szkoła Podstawowa w Grojcu, ul. Aleja Ogrodowa 2, 32-615 Grojec";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;54;5;6;1;0;1;0;0;0;72;6;4;1;1;1;2;0;0;0;0;6;4;1;2;1;0;1;0;0;20;15;32;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;16;21;2;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
12;"Dom Ludowy w Pławach, Pławy ul. Pławianka 3, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;7;0;2;0;0;0;0;0;0;25;1;0;0;0;1;1;0;0;0;0;2;0;0;0;0;1;0;1;0;2;5;9;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;47;5;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;"Remiza OSP w Stawach Monowskich, Stawy Monowskie ul. Dogodna 1, 32-642 Włosienica";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;10;3;0;0;0;1;0;0;0;25;0;2;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;2;9;4;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;3;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
14;"Szkoła Podstawowa w Grojcu, ul. Aleja Ogrodowa 2, 32-615 Grojec";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;35;2;7;1;3;0;0;0;0;54;2;2;0;0;2;3;0;0;0;0;11;2;0;0;0;0;1;1;0;22;18;23;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;144;12;26;1;2;2;0;1;1;1;2;0;0;1;0;0;0;0;1;1
15;"Przedszkole Samorządowe w Zaborzu, Zaborze ul. Grojecka 54, 32-600 Oświęcim";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;76;5;14;2;1;5;0;2;1;157;10;4;1;0;0;6;3;0;0;1;13;2;2;1;2;0;1;0;0;17;27;27;0;2;0;0;0;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;128;6;30;0;1;0;0;0;0;1;2;1;0;1;0;0;1;0;1;0
16;"Powiatowe Zakłady Opiekuńczo-Lecznicze w Grojcu, ul. Aleja Ogrodowa 1, 32-615 Grojec";121306;"gm. Oświęcim";"oświęcimski";"małopolskie";1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;"Strażnica Ochotniczej Straży Pożarnej, ul. Kasztanowa 2, 32-607 Polanka Wielka";121307;"gm. Polanka Wielka";"oświęcimski";"małopolskie";1;1;70;2;9;1;0;2;0;1;2;90;6;0;1;1;0;3;0;0;0;0;26;4;2;1;1;0;1;0;0;30;45;53;1;1;2;1;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;239;19;38;3;2;0;2;0;1;2;3;0;0;1;0;0;0;0;0;0
2;"Gminne Centrum Kultury, ul. Długa 61, 32-607 Polanka Wielka";121307;"gm. Polanka Wielka";"oświęcimski";"małopolskie";1;1;29;0;6;3;0;0;0;1;0;35;3;4;2;0;0;1;0;0;0;0;26;1;1;0;0;1;1;0;0;20;16;32;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;110;17;30;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
3;"Zespół Szkolno-Przedszkolny, budynek Szkoły Podstawowej w Polance Wielkiej, ul. Długa 175, 32-607 Polanka Wielka";121307;"gm. Polanka Wielka";"oświęcimski";"małopolskie";1;1;31;1;4;0;2;2;0;0;1;26;1;3;1;1;0;0;0;0;0;0;41;1;2;0;1;2;0;0;2;24;31;25;1;2;1;1;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;137;27;28;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2
1;"Szkoła Podstawowa Nr 1 w Przeciszowie, ul. Szkolna 93, 32-641 Przeciszów";121308;"gm. Przeciszów";"oświęcimski";"małopolskie";1;1;89;5;13;1;0;3;0;0;0;198;12;6;0;0;0;3;0;0;0;2;26;2;0;0;2;1;0;2;0;20;34;65;1;1;0;1;1;0;2;1;3;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;217;25;63;1;9;0;0;0;0;3;2;3;0;4;0;0;1;0;2;1
2;"Szkoła Podstawowa Nr 2 im. Jana Pawła II w Przeciszowie, ul. Podlesie 92, 32-641 Przeciszów";121308;"gm. Przeciszów";"oświęcimski";"małopolskie";1;1;36;5;4;0;0;0;0;0;0;54;1;2;0;0;0;1;0;0;0;0;8;0;1;2;0;1;0;0;1;5;16;21;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;91;14;28;1;1;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0
3;"Szkoła Podstawowa w Piotrowicach, Piotrowice ul. Andrychowska 222, 32-641 Przeciszów";121308;"gm. Przeciszów";"oświęcimski";"małopolskie";1;1;52;4;5;3;0;5;0;0;2;77;4;2;1;0;2;0;2;1;0;0;14;3;2;1;0;1;0;1;0;9;43;62;0;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;1;210;24;80;3;6;0;1;1;0;3;2;0;0;0;0;0;0;0;0;0
4;"Szkoła Podstawowa Nr 2 im. Jana Pawła II w Przeciszowie, ul. Podlesie 92, 32-641 Przeciszów";121308;"gm. Przeciszów";"oświęcimski";"małopolskie";1;1;14;5;7;2;0;4;0;0;0;22;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;9;10;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;4;7;0;1;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0
1;"Zespół Szkół Ogólnokształcących w Zatorze, ul. Kongresowa 11, 32-640 Zator";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;54;7;11;2;0;5;0;1;0;90;6;9;1;0;2;1;4;0;0;1;7;1;2;0;1;1;1;0;0;8;24;38;1;1;0;0;0;0;0;1;0;2;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;139;16;53;0;3;0;0;0;0;0;2;2;0;0;0;0;1;0;1;1
2;"Dom Ludowy w Rudzach, ul. Dworska 10, 32-640 Rudze";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;8;0;0;0;0;0;0;0;1;16;0;3;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;7;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;6;26;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
3;"Szkoła Podstawowa w Laskowej, ul. Zdrojowa 9, 32-640 Laskowa";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;14;2;1;0;1;1;0;0;0;26;1;1;0;0;2;1;1;0;0;0;3;0;0;1;1;0;0;0;0;2;2;8;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;3;12;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
4;"Dom Ludowy w Palczowicach, ul. Elizy Orzeszkowej 37, 32-640 Palczowice";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;36;3;1;2;2;1;0;1;0;45;0;1;1;0;1;0;0;0;0;0;6;0;3;1;3;1;0;0;0;9;20;18;1;2;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;94;6;31;2;8;0;2;0;0;1;0;0;0;0;0;0;1;0;1;0
5;"Zespół Szkolno-Przedszkolny w Podolszu, ul. Zatorska 37, 32-640 Podolsze";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;51;1;11;0;1;1;0;1;0;46;7;5;0;0;0;3;0;0;0;2;21;2;0;3;2;0;1;0;0;15;15;21;0;2;1;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;150;19;50;2;2;0;0;1;0;1;0;0;0;2;0;0;0;0;2;1
6;"Remiza OSP w Graboszycach, ul. Św. Andrzeja 6, 32-640 Graboszyce";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;27;2;1;0;0;2;0;0;0;35;3;0;0;0;1;0;0;0;0;0;10;0;1;2;0;0;2;0;0;2;15;20;2;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;75;9;16;1;2;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0
7;"Szkoła Podstawowa w Łowiczkach, ul. Centralna 56, 32-640 Łowiczki";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;5;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;7;12;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;57;4;12;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
8;"Szkoła Podstawowa w Grodzisku, ul. Grodowa 3, 32-640 Grodzisko";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;13;0;4;0;0;1;0;0;0;11;0;2;0;0;0;0;0;0;0;0;5;1;1;0;1;0;0;0;0;2;4;8;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;5;15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
9;"Szkoła Podstawowa w Smolicach, ul. Edukacyjna 3, 32-640 Smolice";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;16;0;4;1;0;0;0;0;0;18;1;0;0;0;0;1;0;0;0;0;5;1;0;0;0;0;0;0;0;3;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;"Zespół Szkół Ogólnokształcących w Zatorze, ul. Kongresowa 11, 32-640 Zator";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;114;12;10;1;2;0;0;1;2;91;3;6;1;0;0;1;0;0;0;0;19;0;1;2;1;1;1;1;0;12;28;47;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;83;18;43;3;3;0;2;0;0;1;1;2;2;0;0;0;0;0;1;0
11;"Wiejski Dom Kultury w Trzebieńczycach, ul. gen. Milana-Kamskiego 27, 32-640 Trzebieńczyce";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;10;0;1;1;0;1;0;0;0;17;1;3;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;1;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;20;8;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
12;"Dom Pomocy Społecznej i Zakład Opiekuńczo-Leczniczy w Zatorze, ul. Jana Pawła II 3, 32-640 Zator";121309;"gm. Zator";"oświęcimski";"małopolskie";1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;"Zespół Szkolno-Przedszkolny w Biórkowie Wielkim, Biórków Wielki 111, 32-104 Koniusza";121401;"gm. Koniusza";"proszowicki";"małopolskie";1;1;41;2;8;1;0;2;0;1;0;6;5;0;0;1;0;0;0;0;0;0;13;0;0;4;5;0;1;0;0;2;18;29;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;74;21;31;2;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0
2;"Szkoła Podstawowa im. Stanisława Szymachy w Glewcu, Glewiec 2, 32-104 Koniusza";121401;"gm. Koniusza";"proszowicki";"małopolskie";1;1;8;0;1;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;6;0;0;1;0;1;0;0;0;0;11;12;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;13;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
3;"Remiza Ochotniczej Straży Pożarnej we Wroninie, Wronin 20, 32-104 Koniusza";121401;"gm. Koniusza";"proszowicki";"małopolskie";1;1;18;2;2;1;0;1;0;0;0;0;4;1;0;0;0;1;0;0;0;0;11;2;1;1;5;0;0;0;0;2;16;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;12;33;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0
4;"Remiza Ochotniczej Straży Pożarnej w Wierzbnie, Wierzbno 36, 32-104 Koniusza";121401;"gm. Koniusza";"proszowicki";"małopolskie";1;1;10;1;6;1;0;0;0;1;1;1;3;1;0;0;0;0;2;0;0;0;10;1;1;3;2;0;0;0;0;0;12;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;10;20;0;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0
